"PatronID","BIBID","YEAR"
"100006","1353071","2019"
"1035086","1310576","2019"
"1051551","1324150","2019"
"1047299","1098708","2019"
"129174","1149178","2019"
"129174","1187016","2019"
"116719","1131937","2019"
"1047113","1352097","2019"
"1055416","1124525","2019"
"1051583","1132525","2019"
"1060456","1300081","2019"
"1057914","1266682","2019"
"1059977","1170771","2019"
"1048303","1341593","2019"
"1049576","1241095","2019"
"125690","1170656","2019"
"125690","1308355","2019"
"125690","1348335","2019"
"1041199","1177895","2019"
"1041199","1177917","2019"
"1041199","1177901","2019"
"1041199","1359088","2019"
"114565","1206238","2019"
"114565","1140628","2019"
"1051756","1324150","2019"
"1056487","1266682","2019"
"1047431","1275719","2019"
"1047145","1347288","2019"
"1047145","1266480","2019"
"1060102","1266682","2019"
"1041443","1055628","2019"
"1041443","1193353","2019"
"1052024","1056805","2019"
"1055477","1323581","2019"
"1055477","1275548","2019"
"1055477","1087076","2019"
"1055468","1082419","2019"
"1055468","1154944","2019"
"1055468","1210222","2019"
"1055468","1207984","2019"
"1052570","1236599","2019"
"1052570","1229861","2019"
"114110","1281903","2019"
"1060098","1266682","2019"
"1060586","1360621","2019"
"116719","1338344","2019"
"100416","1134243","2019"
"100416","1013757","2019"
"1059509","1324147","2019"
"140754","1341766","2019"
"1057428","1242204","2019"
"1057428","1342914","2019"
"1057428","1242200","2019"
"1057428","1278444","2019"
"1001219","1175093","2019"
"1001219","1279530","2019"
"1001219","1354121","2019"
"1049567","1267707","2019"
"1057908","1255727","2019"
"1057908","1266682","2019"
"1049102","1180795","2019"
"1061588","1138679","2019"
"1046138","1065413","2019"
"1057302","1194231","2019"
"1059310","1255727","2019"
"1059310","1266682","2019"
"1059303","1255727","2019"
"1059316","1266682","2019"
"1045617","1353178","2019"
"1045617","1170883","2019"
"1054437","1266682","2019"
"1057497","1341526","2019"
"1058345","1319765","2019"
"114110","1276648","2019"
"114110","1276648","2019"
"1061741","1243027","2019"
"1060968","1192703","2019"
"1060968","1043499","2019"
"125265","1374874","2019"
"1060192","1266682","2019"
"1060400","1266682","2019"
"1060396","1266682","2019"
"1046614","1243020","2019"
"1046599","1243020","2019"
"1060376","1266682","2019"
"1056509","1266682","2019"
"1056486","1266682","2019"
"1056505","1266682","2019"
"1057899","1266682","2019"
"1062319","1266682","2019"
"1062320","1266682","2019"
"1056526","1266682","2019"
"1053912","1355249","2019"
"1053912","1355377","2019"
"1056506","1266682","2019"
"1056551","1266682","2019"
"1056531","1266682","2019"
"1051233","1268829","2019"
"1051233","1250885","2019"
"1051599","1354893","2019"
"1056864","1323378","2019"
"1056864","1162600","2019"
"1056864","1347869","2019"
"1056864","1354047","2019"
"1056864","1292928","2019"
"1056864","1353095","2019"
"1056864","1274758","2019"
"1056864","1336468","2019"
"1056864","1276373","2019"
"1056864","1353723","2019"
"1035596","1282129","2019"
"1035596","1353806","2019"
"1035596","1282516","2019"
"1035596","1342532","2019"
"1035596","1351578","2019"
"1052030","1274576","2019"
"1041223","1362053","2019"
"1041223","1284468","2019"
"1041223","1172618","2019"
"1041223","1054504","2019"
"1006159","1271968","2019"
"1055473","1324434","2019"
"1055473","1216403","2019"
"1055473","1230905","2019"
"1055473","1237960","2019"
"1055473","1195010","2019"
"1055473","1298959","2019"
"1005377","1348099","2019"
"1029468","1277824","2019"
"1055629","1352081","2019"
"1055629","1220605","2019"
"125509","1222138","2019"
"125509","1251367","2019"
"1059896","1353152","2019"
"1057281","1087729","2019"
"1057281","1263674","2019"
"1060352","1105916","2019"
"1041356","1354768","2019"
"1041356","1354766","2019"
"1041356","1354769","2019"
"1059304","1266682","2019"
"1057900","1266682","2019"
"1057900","1255727","2019"
"1058246","1209009","2019"
"1058246","1277136","2019"
"1053127","1255144","2019"
"1053127","1354986","2019"
"1047024","1291472","2019"
"1047024","1133445","2019"
"1046138","1049736","2019"
"1046138","1211563","2019"
"1046138","1323472","2019"
"1052784","1354456","2019"
"1060345","1193807","2019"
"1059989","1333510","2019"
"1059989","1198001","2019"
"1062613","1283059","2019"
"1056487","1266682","2019"
"1060521","1310640","2019"
"1060521","1341537","2019"
"1054414","1266682","2019"
"1054377","1266682","2019"
"1054435","1266682","2019"
"1054440","1266682","2019"
"1054443","1266682","2019"
"1059728","1219024","2019"
"1059728","1255151","2019"
"1046682","1166116","2019"
"1046682","1137631","2019"
"1046682","1242037","2019"
"1046680","1087127","2019"
"1056531","1266682","2019"
"1055945","1152008","2019"
"1055945","1202667","2019"
"1054198","1094526","2019"
"1051547","1289701","2019"
"1054598","1235466","2019"
"1054598","1059925","2019"
"1051538","1230278","2019"
"1057902","1266682","2019"
"1059509","1250752","2019"
"1062319","1266682","2019"
"1052846","1323320","2019"
"1059298","1266682","2019"
"1041223","1184432","2019"
"1057302","1159947","2019"
"1057302","1202080","2019"
"1057302","1118807","2019"
"1057302","1042902","2019"
"1052030","1274576","2019"
"1042238","1295429","2019"
"1060373","1341625","2019"
"1052030","1274576","2019"
"1058122","1266682","2019"
"1046848","1323441","2019"
"1054374","1266682","2019"
"1054371","1266682","2019"
"129112","1319996","2019"
"1059303","1266682","2019"
"1059296","1266682","2019"
"1058874","1005226","2019"
"1041356","1269393","2019"
"1041356","1296830","2019"
"1056551","1266682","2019"
"112473","1137062","2019"
"1059756","1219024","2019"
"1059756","1255151","2019"
"1060417","1218400","2019"
"1049394","1341392","2019"
"1055475","1184985","2019"
"1055475","1334864","2019"
"1055475","1271751","2019"
"1055475","1348887","2019"
"1055475","1162063","2019"
"1056486","1266682","2019"
"1056505","1266682","2019"
